        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	  DongleData	     Tainted	         Pit

START	12:58:39
          15	          23	       1 / 1	 00:00:08.99	 00:00:08.80	 00:03:38.01	   Garage 27	800F037D001800FF10
           6	          22	       2 / 1	 00:00:09.02	 00:00:08.48	 00:03:38.20	Eurolink Racing	80060380001700FF10
          10	          23	       1 / 1	 00:00:09.25	 00:00:09.11	 00:03:38.86	      Wolves	800A0397001800FF8C
          11	          23	       1 / 1	 00:00:08.98	 00:00:08.78	 00:03:39.47	        DSCA	800B037C001800FF8C
           9	          23	       1 / 1	 00:00:09.23	 00:00:08.80	 00:03:40.04	Hyper Monkeys	80090395001800FF8C
           4	          23	       1 / 1	 00:00:08.81	 00:00:08.81	 00:03:41.77	El Kapito Dents	8004036B001800FF8C
           8	          24	       0 / 0	 00:00:08.69	 00:00:08.68	 00:03:42.41	      Exiles	8008035F001900FF8C
           1	          23	       2 / 1	 00:00:08.72	 00:00:08.65	 00:03:43.24	Sports Carazing	80010362001800FF8C
          15	          24	       1 / 1	 00:00:09.07	 00:00:08.80	 00:03:46.99	   Garage 27	800F0385001900FF10
          10	          24	       1 / 1	 00:00:09.35	 00:00:09.11	 00:03:48.13	      Wolves	800A03A0001900FF8C
          11	          24	       1 / 1	 00:00:09.71	 00:00:08.78	 00:03:49.34	        DSCA	800B03C4001900FF8C
           6	          23	       2 / 1	 00:00:11.62	 00:00:08.48	 00:03:49.87	Eurolink Racing	80060482001800FF10
           4	          24	       1 / 1	 00:00:09.11	 00:00:08.81	 00:03:50.75	El Kapito Dents	800403890019000080
           9	          24	       1 / 1	 00:00:10.68	 00:00:08.80	 00:03:50.82	Hyper Monkeys	80090424001900978C
           1	          24	       1 / 1	 00:00:09.07	 00:00:08.65	 00:03:52.51	Sports Carazing	80010385001900FF8C
           8	          25	       0 / 0	 00:00:13.21	 00:00:08.68	 00:03:55.58	      Exiles	80080520001A00FF8C
          15	          25	       1 / 1	 00:00:09.29	 00:00:08.80	 00:03:56.26	   Garage 27	800F039B001A00FF10
          10	          25	       1 / 1	 00:00:09.23	 00:00:09.11	 00:03:57.41	      Wolves	800A0395001A00FF12
          11	          25	       1 / 1	 00:00:09.36	 00:00:08.78	 00:03:58.62	        DSCA	800B03A1001A00FF8C
           6	          24	       2 / 1	 00:00:09.08	 00:00:08.48	 00:03:58.85	Eurolink Racing	80060386001900FF10
           9	          25	       1 / 1	 00:00:10.27	 00:00:08.80	 00:04:00.99	Hyper Monkeys	800903FC001A00FF10
           1	          25	       1 / 1	 00:00:08.96	 00:00:08.65	 00:04:01.19	Sports Carazing	8001037A001A00FF12
           4	          25	       1 / 1	 00:00:12.79	 00:00:08.81	 00:04:03.62	El Kapito Dents	800404F6001A00FF10
           8	          26	       0 / 0	 00:00:09.02	 00:00:08.68	 00:04:04.55	      Exiles	80080380001B00FF10
          15	          26	       1 / 1	 00:00:08.92	 00:00:08.80	 00:04:05.24	   Garage 27	800F0376001B00FF8A
          10	          26	       1 / 1	 00:00:09.19	 00:00:09.11	 00:04:06.69	      Wolves	800A0391001B00FF12
          11	          26	       1 / 1	 00:00:09.07	 00:00:08.78	 00:04:07.60	        DSCA	800B0385001B00FF10
           6	          25	       2 / 1	 00:00:08.98	 00:00:08.48	 00:04:07.83	Eurolink Racing	8006037C001A00FF8C
